run,method,iterations,runtime,tp,fn,fp,tn,accuracy,precision,recall,specificity,f1
run_01,DAPSO-10,50,80.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_01,DAPSO-10,60,101.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_01,DAPSO-10,70,122.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_01,DAPSO-10,80,139.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_01,DAPSO-10,90,159.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_01,DAPSO-10,100,176.0,22,4,8,80,0.8947368421052632,0.7333333333333333,0.8461538461538461,0.9090909090909091,0.7857142857142856
run_02,PSO,10,37.0,21,5,20,68,0.7807017543859649,0.5121951219512195,0.8076923076923077,0.7727272727272727,0.6268656716417911
run_02,PSO,20,85.0,21,5,20,68,0.7807017543859649,0.5121951219512195,0.8076923076923077,0.7727272727272727,0.6268656716417911
run_02,PSO,30,122.0,21,5,20,68,0.7807017543859649,0.5121951219512195,0.8076923076923077,0.7727272727272727,0.6268656716417911
run_02,PSO,40,158.0,21,5,20,68,0.7807017543859649,0.5121951219512195,0.8076923076923077,0.7727272727272727,0.6268656716417911
run_02,PSO,50,192.0,21,5,20,68,0.7807017543859649,0.5121951219512195,0.8076923076923077,0.7727272727272727,0.6268656716417911
run_02,PSO,60,254.0,21,5,20,68,0.7807017543859649,0.5121951219512195,0.8076923076923077,0.7727272727272727,0.6268656716417911
run_02,PSO,70,278.0,21,5,20,68,0.7807017543859649,0.5121951219512195,0.8076923076923077,0.7727272727272727,0.6268656716417911
run_02,PSO,80,344.0,21,5,20,68,0.7807017543859649,0.5121951219512195,0.8076923076923077,0.7727272727272727,0.6268656716417911
run_02,PSO,90,386.0,21,5,20,68,0.7807017543859649,0.5121951219512195,0.8076923076923077,0.7727272727272727,0.6268656716417911
run_02,PSO,100,430.0,21,5,20,68,0.7807017543859649,0.5121951219512195,0.8076923076923077,0.7727272727272727,0.6268656716417911
run_02,DAPSO-4,10,25.0,20,6,8,80,0.8771929824561403,0.7142857142857143,0.7692307692307693,0.9090909090909091,0.7407407407407408
run_02,DAPSO-4,20,41.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_02,DAPSO-4,30,62.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_02,DAPSO-4,40,75.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_02,DAPSO-4,50,105.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_02,DAPSO-4,60,136.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_02,DAPSO-4,70,150.0,22,4,13,75,0.8508771929824561,0.6285714285714286,0.8461538461538461,0.8522727272727273,0.721311475409836
run_02,DAPSO-4,80,188.0,22,4,13,75,0.8508771929824561,0.6285714285714286,0.8461538461538461,0.8522727272727273,0.721311475409836
run_02,DAPSO-4,90,200.0,22,4,13,75,0.8508771929824561,0.6285714285714286,0.8461538461538461,0.8522727272727273,0.721311475409836
run_02,DAPSO-4,100,230.0,22,4,13,75,0.8508771929824561,0.6285714285714286,0.8461538461538461,0.8522727272727273,0.721311475409836
run_02,DAPSO-10,10,17.0,20,6,8,80,0.8771929824561403,0.7142857142857143,0.7692307692307693,0.9090909090909091,0.7407407407407408
run_02,DAPSO-10,20,30.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_02,DAPSO-10,30,45.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_02,DAPSO-10,40,67.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_02,DAPSO-10,50,84.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_02,DAPSO-10,60,122.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_02,DAPSO-10,70,117.0,22,4,13,75,0.8508771929824561,0.6285714285714286,0.8461538461538461,0.8522727272727273,0.721311475409836
run_02,DAPSO-10,80,144.0,22,4,13,75,0.8508771929824561,0.6285714285714286,0.8461538461538461,0.8522727272727273,0.721311475409836
run_02,DAPSO-10,90,157.0,22,4,13,75,0.8508771929824561,0.6285714285714286,0.8461538461538461,0.8522727272727273,0.721311475409836
run_02,DAPSO-10,100,172.0,22,4,13,75,0.8508771929824561,0.6285714285714286,0.8461538461538461,0.8522727272727273,0.721311475409836
run_03,PSO,10,37.0,22,4,14,74,0.8421052631578947,0.6111111111111112,0.8461538461538461,0.8409090909090909,0.7096774193548387
run_03,PSO,20,79.0,22,4,14,74,0.8421052631578947,0.6111111111111112,0.8461538461538461,0.8409090909090909,0.7096774193548387
run_03,PSO,30,116.0,22,4,14,74,0.8421052631578947,0.6111111111111112,0.8461538461538461,0.8409090909090909,0.7096774193548387
run_03,PSO,40,153.0,22,4,14,74,0.8421052631578947,0.6111111111111112,0.8461538461538461,0.8409090909090909,0.7096774193548387
run_03,PSO,50,234.0,22,4,14,74,0.8421052631578947,0.6111111111111112,0.8461538461538461,0.8409090909090909,0.7096774193548387
run_03,PSO,60,335.0,22,4,14,74,0.8421052631578947,0.6111111111111112,0.8461538461538461,0.8409090909090909,0.7096774193548387
run_03,PSO,70,430.0,22,4,14,74,0.8421052631578947,0.6111111111111112,0.8461538461538461,0.8409090909090909,0.7096774193548387
run_03,PSO,80,376.0,22,4,14,74,0.8421052631578947,0.6111111111111112,0.8461538461538461,0.8409090909090909,0.7096774193548387
run_03,PSO,90,380.0,22,4,14,74,0.8421052631578947,0.6111111111111112,0.8461538461538461,0.8409090909090909,0.7096774193548387
run_03,PSO,100,426.0,22,4,14,74,0.8421052631578947,0.6111111111111112,0.8461538461538461,0.8409090909090909,0.7096774193548387
run_03,DAPSO-4,10,24.0,20,6,7,81,0.8859649122807017,0.7407407407407407,0.7692307692307693,0.9204545454545454,0.7547169811320754
run_03,DAPSO-4,20,40.0,21,5,6,82,0.9035087719298246,0.7777777777777778,0.8076923076923077,0.9318181818181818,0.7924528301886792
run_03,DAPSO-4,30,55.0,21,5,6,82,0.9035087719298246,0.7777777777777778,0.8076923076923077,0.9318181818181818,0.7924528301886792
