run,iterations,PSO,DAPSO-4,DAPSO-10,speedup_dapso4,speedup_dapso10,dapso10_vs_dapso4
run_03,70,430.0,212.0,148.0,2.0283018867924527,2.9054054054054053,1.4324324324324325
run_03,80,376.0,181.0,134.0,2.0773480662983426,2.8059701492537314,1.3507462686567164
run_03,90,380.0,198.0,151.0,1.9191919191919191,2.5165562913907285,1.3112582781456954
run_03,100,426.0,225.0,188.0,1.8933333333333333,2.265957446808511,1.196808510638298
run_04,10,41.0,35.0,21.0,1.1714285714285715,1.9523809523809523,1.6666666666666667
run_04,20,94.0,56.0,35.0,1.6785714285714286,2.6857142857142855,1.6
run_04,30,141.0,82.0,59.0,1.7195121951219512,2.389830508474576,1.3898305084745763
run_04,40,200.0,100.0,84.0,2.0,2.380952380952381,1.1904761904761905
run_04,50,247.0,172.0,113.0,1.436046511627907,2.185840707964602,1.5221238938053097
run_04,60,352.0,191.0,125.0,1.8429319371727748,2.816,1.528
run_04,70,406.0,162.0,125.0,2.506172839506173,3.248,1.296
run_04,80,334.0,177.0,133.0,1.887005649717514,2.511278195488722,1.330827067669173
run_04,90,370.0,193.0,148.0,1.9170984455958548,2.5,1.304054054054054
run_04,100,452.0,318.0,216.0,1.421383647798742,2.0925925925925926,1.4722222222222223
run_05,10,47.0,36.0,24.0,1.3055555555555556,1.9583333333333333,1.5
run_05,20,99.0,58.0,41.0,1.706896551724138,2.4146341463414633,1.4146341463414633
run_05,30,154.0,93.0,62.0,1.6559139784946237,2.4838709677419355,1.5
run_05,40,208.0,109.0,68.0,1.908256880733945,3.0588235294117645,1.6029411764705883
run_05,50,255.0,133.0,91.0,1.9172932330827068,2.802197802197802,1.4615384615384615
run_05,60,302.0,102.0,79.0,2.9607843137254903,3.8227848101265822,1.2911392405063291
run_05,70,267.0,142.0,109.0,1.880281690140845,2.44954128440367,1.3027522935779816
run_05,80,341.0,177.0,133.0,1.926553672316384,2.56390977443609,1.330827067669173
run_05,90,420.0,6205.0,126.0,0.06768734891216761,3.3333333333333335,49.24603174603175
run_05,100,397.0,201.0,150.0,1.9751243781094527,2.6466666666666665,1.34
run_06,10,35.0,21.0,14.0,1.6666666666666667,2.5,1.5
run_06,20,72.0,34.0,26.0,2.1176470588235294,2.769230769230769,1.3076923076923077
run_06,30,108.0,49.0,37.0,2.204081632653061,2.918918918918919,1.3243243243243243
run_06,40,140.0,64.0,57.0,2.1875,2.456140350877193,1.1228070175438596
run_06,50,177.0,92.0,72.0,1.923913043478261,2.4583333333333335,1.2777777777777777
run_06,60,239.0,118.0,87.0,2.0254237288135593,2.7471264367816093,1.3563218390804597
run_06,70,279.0,138.0,102.0,2.0217391304347827,2.735294117647059,1.3529411764705883
run_06,80,317.0,159.0,121.0,1.9937106918238994,2.6198347107438016,1.3140495867768596
run_06,90,359.0,179.0,133.0,2.005586592178771,2.699248120300752,1.3458646616541354
run_06,100,395.0,199.0,148.0,1.984924623115578,2.668918918918919,1.3445945945945945
run_07,10,34.0,20.0,13.0,1.7,2.6153846153846154,1.5384615384615385
run_07,20,67.0,31.0,24.0,2.161290322580645,2.7916666666666665,1.2916666666666667
run_07,30,100.0,50.0,39.0,2.0,2.5641025641025643,1.2820512820512822
run_07,40,144.0,72.0,70.0,2.0,2.057142857142857,1.0285714285714285
run_07,50,189.0,106.0,83.0,1.7830188679245282,2.2771084337349397,1.2771084337349397
run_07,60,259.0,140.0,102.0,1.85,2.5392156862745097,1.3725490196078431
run_07,70,289.0,137.0,103.0,2.1094890510948905,2.8058252427184467,1.3300970873786409
run_07,80,302.0,154.0,117.0,1.9610389610389611,2.5811965811965814,1.3162393162393162
run_07,90,334.0,166.0,130.0,2.0120481927710845,2.5692307692307694,1.2769230769230768
run_07,100,368.0,185.0,151.0,1.9891891891891893,2.437086092715232,1.2251655629139073
run_08,10,37.0,22.0,15.0,1.6818181818181819,2.466666666666667,1.4666666666666666
run_08,20,73.0,39.0,29.0,1.8717948717948718,2.5172413793103448,1.3448275862068966
run_08,30,110.0,55.0,40.0,2.0,2.75,1.375
run_08,40,146.0,74.0,65.0,1.972972972972973,2.246153846153846,1.1384615384615384
run_08,50,187.0,109.0,84.0,1.7155963302752293,2.2261904761904763,1.2976190476190477
run_08,60,240.0,113.0,86.0,2.1238938053097347,2.7906976744186047,1.313953488372093
run_08,70,253.0,128.0,100.0,1.9765625,2.53,1.28
run_08,80,293.0,145.0,113.0,2.0206896551724136,2.5929203539823007,1.2831858407079646
run_08,90,328.0,164.0,128.0,2.0,2.5625,1.28125
run_08,100,365.0,184.0,144.0,1.983695652173913,2.5347222222222223,1.2777777777777777
run_09,10,34.0,21.0,13.0,1.619047619047619,2.6153846153846154,1.6153846153846154
run_09,20,71.0,33.0,25.0,2.1515151515151514,2.84,1.32
run_09,30,112.0,55.0,45.0,2.036363636363636,2.488888888888889,1.2222222222222223
run_09,40,157.0,86.0,69.0,1.8255813953488371,2.2753623188405796,1.2463768115942029
